;Nome DP;Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;LatW;LongW
18;001 DP - Sé;ROUBO DE VEÍCULO;1,0;3,0;1,0;5;4,0;0,0;0,0;2,0;2;...;...;...;18,0;-23,5571;-46,6342
19;001 DP - Sé;ROUBO A BANCO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5571;-46,6342
20;001 DP - Sé;ROUBO DE CARGA;19,0;10,0;10,0;15;15,0;11,0;19,0;11,0;13;...;...;...;123,0;-23,5571;-46,6342
21;001 DP - Sé;FURTO - OUTROS;1,179;870,0;938,0;955;1,228;933,0;1,108;1,061;971;...;...;...;9,243;-23,5571;-46,6342
22;001 DP - Sé;FURTO DE VEÍCULO;6,0;13,0;16,0;10;9,0;10,0;12,0;16,0;18;...;...;...;110,0;-23,5571;-46,6342
23;002 DP - Bom Retiro;HOMICÍDIO DOLOSO (2);1,0;1,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;2,0;-23,5231;-46,6443
24;002 DP - Bom Retiro;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1,0;1,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;2,0;-23,5231;-46,6443
25;002 DP - Bom Retiro;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
26;002 DP - Bom Retiro;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
27;002 DP - Bom Retiro;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
28;002 DP - Bom Retiro;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
29;002 DP - Bom Retiro;TENTATIVA DE HOMICÍDIO;0,0;0,0;0,0;0;0,0;1,0;0,0;0,0;0;...;...;...;1,0;-23,5231;-46,6443
30;002 DP - Bom Retiro;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
31;002 DP - Bom Retiro;LESÃO CORPORAL DOLOSA;6,0;20,0;11,0;16;17,0;13,0;15,0;11,0;14;...;...;...;123,0;-23,5231;-46,6443
32;002 DP - Bom Retiro;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8,0;6,0;4,0;5;6,0;5,0;12,0;5,0;8;...;...;...;59,0;-23,5231;-46,6443
33;002 DP - Bom Retiro;LESÃO CORPORAL CULPOSA - OUTRAS;2,0;0,0;1,0;1;1,0;0,0;0,0;0,0;0;...;...;...;5,0;-23,5231;-46,6443
34;002 DP - Bom Retiro;LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
35;002 DP - Bom Retiro;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
36;002 DP - Bom Retiro;TOTAL DE ESTUPRO (4);2,0;0,0;3,0;1;0,0;2,0;0,0;2,0;1;...;...;...;11,0;-23,5231;-46,6443
37;002 DP - Bom Retiro;ESTUPRO;1,0;0,0;3,0;1;0,0;2,0;0,0;1,0;0;...;...;...;8,0;-23,5231;-46,6443
38;002 DP - Bom Retiro;ESTUPRO DE VULNERÁVEL;1,0;0,0;0,0;0;0,0;0,0;0,0;1,0;1;...;...;...;3,0;-23,5231;-46,6443
39;002 DP - Bom Retiro;TOTAL DE ROUBO - OUTROS (1);88,0;52,0;133,0;80;102,0;86,0;66,0;95,0;99;...;...;...;801,0;-23,5231;-46,6443
40;002 DP - Bom Retiro;ROUBO - OUTROS;87,0;52,0;132,0;80;101,0;82,0;66,0;93,0;98;...;...;...;791,0;-23,5231;-46,6443
41;002 DP - Bom Retiro;ROUBO DE VEÍCULO;1,0;0,0;0,0;2;5,0;2,0;1,0;3,0;0;...;...;...;14,0;-23,5231;-46,6443
42;002 DP - Bom Retiro;ROUBO A BANCO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5231;-46,6443
43;002 DP - Bom Retiro;ROUBO DE CARGA;1,0;0,0;1,0;0;1,0;4,0;0,0;2,0;1;...;...;...;10,0;-23,5231;-46,6443
44;002 DP - Bom Retiro;FURTO - OUTROS;295,0;83,0;882,0;355;369,0;380,0;474,0;505,0;356;...;...;...;3,699;-23,5231;-46,6443
45;002 DP - Bom Retiro;FURTO DE VEÍCULO;5,0;1,0;7,0;9;15,0;9,0;12,0;13,0;7;...;...;...;78,0;-23,5231;-46,6443
46;003 DP - Campos Elísios;HOMICÍDIO DOLOSO (2);1,0;0,0;1,0;0;1,0;0,0;1,0;2,0;0;...;...;...;6,0;-23,5396;-46,6399
47;003 DP - Campos Elísios;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1,0;0,0;1,0;0;1,0;0,0;1,0;2,0;0;...;...;...;6,0;-23,5396;-46,6399
48;003 DP - Campos Elísios;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
49;003 DP - Campos Elísios;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
50;003 DP - Campos Elísios;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;1,0;0,0;0,0;0,0;0;...;...;...;1,0;-23,5396;-46,6399
51;003 DP - Campos Elísios;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
52;003 DP - Campos Elísios;TENTATIVA DE HOMICÍDIO;1,0;2,0;1,0;0;2,0;0,0;0,0;0,0;0;...;...;...;6,0;-23,5396;-46,6399
53;003 DP - Campos Elísios;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
54;003 DP - Campos Elísios;LESÃO CORPORAL DOLOSA;32,0;31,0;48,0;28;40,0;38,0;27,0;47,0;30;...;...;...;321,0;-23,5396;-46,6399
55;003 DP - Campos Elísios;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;20,0;4,0;7,0;9;19,0;7,0;12,0;6,0;16;...;...;...;100,0;-23,5396;-46,6399
56;003 DP - Campos Elísios;LESÃO CORPORAL CULPOSA - OUTRAS;0,0;0,0;1,0;2;0,0;0,0;0,0;0,0;0;...;...;...;3,0;-23,5396;-46,6399
57;003 DP - Campos Elísios;LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
58;003 DP - Campos Elísios;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
59;003 DP - Campos Elísios;TOTAL DE ESTUPRO (4);2,0;1,0;4,0;2;0,0;1,0;3,0;1,0;4;...;...;...;18,0;-23,5396;-46,6399
60;003 DP - Campos Elísios;ESTUPRO;0,0;1,0;2,0;1;0,0;1,0;1,0;1,0;1;...;...;...;8,0;-23,5396;-46,6399
61;003 DP - Campos Elísios;ESTUPRO DE VULNERÁVEL;2,0;0,0;2,0;1;0,0;0,0;2,0;0,0;3;...;...;...;10,0;-23,5396;-46,6399
62;003 DP - Campos Elísios;TOTAL DE ROUBO - OUTROS (1);302,0;382,0;598,0;389;493,0;425,0;353,0;348,0;386;...;...;...;3,676;-23,5396;-46,6399
63;003 DP - Campos Elísios;ROUBO - OUTROS;298,0;382,0;597,0;387;491,0;424,0;352,0;347,0;384;...;...;...;3,662;-23,5396;-46,6399
64;003 DP - Campos Elísios;ROUBO DE VEÍCULO;2,0;0,0;2,0;3;0,0;5,0;1,0;1,0;1;...;...;...;15,0;-23,5396;-46,6399
65;003 DP - Campos Elísios;ROUBO A BANCO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5396;-46,6399
66;003 DP - Campos Elísios;ROUBO DE CARGA;4,0;0,0;1,0;2;2,0;1,0;1,0;1,0;2;...;...;...;14,0;-23,5396;-46,6399
67;003 DP - Campos Elísios;FURTO - OUTROS;796,0;1,121;3,069;734;1,759;1,086;675,0;706,0;692;...;...;...;10,638;-23,5396;-46,6399
68;003 DP - Campos Elísios;FURTO DE VEÍCULO;7,0;8,0;11,0;12;11,0;9,0;17,0;15,0;20;...;...;...;110,0;-23,5396;-46,6399
69;004 DP - Consolação;HOMICÍDIO DOLOSO (2);0,0;0,0;1,0;0;0,0;0,0;1,0;0,0;0;...;...;...;2,0;-23,5508;-46,6499
70;004 DP - Consolação;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0,0;0,0;1,0;0;0,0;0,0;1,0;0,0;0;...;...;...;2,0;-23,5508;-46,6499
71;004 DP - Consolação;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
72;004 DP - Consolação;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
73;004 DP - Consolação;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;1,0;0;...;...;...;1,0;-23,5508;-46,6499
74;004 DP - Consolação;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
75;004 DP - Consolação;TENTATIVA DE HOMICÍDIO;0,0;1,0;1,0;0;0,0;0,0;0,0;0,0;0;...;...;...;2,0;-23,5508;-46,6499
76;004 DP - Consolação;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
77;004 DP - Consolação;LESÃO CORPORAL DOLOSA;19,0;23,0;14,0;35;15,0;16,0;10,0;21,0;13;...;...;...;166,0;-23,5508;-46,6499
78;004 DP - Consolação;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11,0;9,0;10,0;4;9,0;8,0;4,0;10,0;2;...;...;...;67,0;-23,5508;-46,6499
79;004 DP - Consolação;LESÃO CORPORAL CULPOSA - OUTRAS;1,0;1,0;1,0;0;0,0;0,0;0,0;1,0;0;...;...;...;4,0;-23,5508;-46,6499
80;004 DP - Consolação;LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
81;004 DP - Consolação;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
82;004 DP - Consolação;TOTAL DE ESTUPRO (4);1,0;1,0;2,0;1;1,0;2,0;3,0;1,0;2;...;...;...;14,0;-23,5508;-46,6499
83;004 DP - Consolação;ESTUPRO;0,0;1,0;1,0;1;0,0;2,0;0,0;1,0;1;...;...;...;7,0;-23,5508;-46,6499
84;004 DP - Consolação;ESTUPRO DE VULNERÁVEL;1,0;0,0;1,0;0;1,0;0,0;3,0;0,0;1;...;...;...;7,0;-23,5508;-46,6499
85;004 DP - Consolação;TOTAL DE ROUBO - OUTROS (1);204,0;203,0;260,0;210;176,0;333,0;173,0;241,0;172;...;...;...;1,972;-23,5508;-46,6499
86;004 DP - Consolação;ROUBO - OUTROS;204,0;203,0;260,0;210;176,0;333,0;173,0;241,0;171;...;...;...;1,971;-23,5508;-46,6499
87;004 DP - Consolação;ROUBO DE VEÍCULO;1,0;1,0;1,0;1;1,0;1,0;0,0;2,0;1;...;...;...;9,0;-23,5508;-46,6499
88;004 DP - Consolação;ROUBO A BANCO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5508;-46,6499
89;004 DP - Consolação;ROUBO DE CARGA;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;1;...;...;...;1,0;-23,5508;-46,6499
90;004 DP - Consolação;FURTO - OUTROS;449,0;572,0;1,017;507;469,0;713,0;405,0;520,0;390;...;...;...;5,042;-23,5508;-46,6499
91;004 DP - Consolação;FURTO DE VEÍCULO;22,0;26,0;18,0;17;23,0;22,0;25,0;48,0;21;...;...;...;222,0;-23,5508;-46,6499
92;005 DP - Aclimação;HOMICÍDIO DOLOSO (2);2,0;1,0;0,0;1;0,0;0,0;0,0;1,0;0;...;...;...;5,0;-23,5655;-46,6382
93;005 DP - Aclimação;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2,0;1,0;0,0;1;0,0;0,0;0,0;1,0;0;...;...;...;5,0;-23,5655;-46,6382
94;005 DP - Aclimação;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5655;-46,6382
95;005 DP - Aclimação;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5655;-46,6382
96;005 DP - Aclimação;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;1,0;0,0;0,0;0,0;0;...;...;...;1,0;-23,5655;-46,6382
97;005 DP - Aclimação;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;1,0;0,0;0,0;0,0;0;...;...;...;1,0;-23,5655;-46,6382
98;005 DP - Aclimação;TENTATIVA DE HOMICÍDIO;2,0;0,0;0,0;1;0,0;0,0;1,0;0,0;0;...;...;...;4,0;-23,5655;-46,6382
99;005 DP - Aclimação;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5655;-46,6382
100;005 DP - Aclimação;LESÃO CORPORAL DOLOSA;29,0;26,0;26,0;36;23,0;30,0;21,0;20,0;27;...;...;...;238,0;-23,5655;-46,6382
101;005 DP - Aclimação;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13,0;3,0;10,0;9;15,0;10,0;16,0;10,0;12;...;...;...;98,0;-23,5655;-46,6382
102;005 DP - Aclimação;LESÃO CORPORAL CULPOSA - OUTRAS;0,0;1,0;1,0;0;0,0;2,0;1,0;0,0;0;...;...;...;5,0;-23,5655;-46,6382
103;005 DP - Aclimação;LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5655;-46,6382
104;005 DP - Aclimação;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5655;-46,6382
105;005 DP - Aclimação;TOTAL DE ESTUPRO (4);0,0;1,0;3,0;2;3,0;2,0;2,0;2,0;0;...;...;...;15,0;-23,5655;-46,6382
106;005 DP - Aclimação;ESTUPRO;0,0;1,0;2,0;1;3,0;2,0;2,0;2,0;0;...;...;...;13,0;-23,5655;-46,6382
107;005 DP - Aclimação;ESTUPRO DE VULNERÁVEL;0,0;0,0;1,0;1;0,0;0,0;0,0;0,0;0;...;...;...;2,0;-23,5655;-46,6382
108;005 DP - Aclimação;TOTAL DE ROUBO - OUTROS (1);94,0;73,0;79,0;85;127,0;102,0;100,0;130,0;100;...;...;...;890,0;-23,5655;-46,6382
109;005 DP - Aclimação;ROUBO - OUTROS;94,0;73,0;77,0;84;127,0;102,0;99,0;129,0;100;...;...;...;885,0;-23,5655;-46,6382
110;005 DP - Aclimação;ROUBO DE VEÍCULO;0,0;1,0;1,0;3;1,0;2,0;0,0;3,0;2;...;...;...;13,0;-23,5655;-46,6382
111;005 DP - Aclimação;ROUBO A BANCO;0,0;0,0;1,0;0;0,0;0,0;0,0;0,0;0;...;...;...;1,0;-23,5655;-46,6382
112;005 DP - Aclimação;ROUBO DE CARGA;0,0;0,0;1,0;1;0,0;0,0;1,0;1,0;0;...;...;...;4,0;-23,5655;-46,6382
113;005 DP - Aclimação;FURTO - OUTROS;245,0;252,0;168,0;303;297,0;310,0;243,0;327,0;262;...;...;...;2,407;-23,5655;-46,6382
114;005 DP - Aclimação;FURTO DE VEÍCULO;41,0;50,0;31,0;43;46,0;30,0;46,0;46,0;27;...;...;...;360,0;-23,5655;-46,6382
115;006 DP - Cambuci;HOMICÍDIO DOLOSO (2);0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
116;006 DP - Cambuci;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
117;006 DP - Cambuci;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
118;006 DP - Cambuci;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
119;006 DP - Cambuci;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0,0;1,0;0,0;0;0,0;0,0;1,0;0,0;0;...;...;...;2,0;-23,5676;-46,6236
120;006 DP - Cambuci;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
121;006 DP - Cambuci;TENTATIVA DE HOMICÍDIO;1,0;0,0;0,0;1;0,0;0,0;0,0;0,0;1;...;...;...;3,0;-23,5676;-46,6236
122;006 DP - Cambuci;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
123;006 DP - Cambuci;LESÃO CORPORAL DOLOSA;30,0;14,0;31,0;27;24,0;17,0;27,0;32,0;27;...;...;...;229,0;-23,5676;-46,6236
124;006 DP - Cambuci;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7,0;7,0;11,0;15;12,0;13,0;13,0;14,0;11;...;...;...;103,0;-23,5676;-46,6236
125;006 DP - Cambuci;LESÃO CORPORAL CULPOSA - OUTRAS;1,0;1,0;3,0;0;1,0;1,0;2,0;3,0;0;...;...;...;12,0;-23,5676;-46,6236
126;006 DP - Cambuci;LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;1;...;...;...;1,0;-23,5676;-46,6236
127;006 DP - Cambuci;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;1;...;...;...;1,0;-23,5676;-46,6236
128;006 DP - Cambuci;TOTAL DE ESTUPRO (4);1,0;2,0;2,0;1;2,0;1,0;1,0;0,0;2;...;...;...;12,0;-23,5676;-46,6236
129;006 DP - Cambuci;ESTUPRO;1,0;0,0;1,0;0;1,0;0,0;1,0;0,0;0;...;...;...;4,0;-23,5676;-46,6236
130;006 DP - Cambuci;ESTUPRO DE VULNERÁVEL;0,0;2,0;1,0;1;1,0;1,0;0,0;0,0;2;...;...;...;8,0;-23,5676;-46,6236
131;006 DP - Cambuci;TOTAL DE ROUBO - OUTROS (1);58,0;72,0;70,0;63;54,0;52,0;72,0;66,0;77;...;...;...;584,0;-23,5676;-46,6236
132;006 DP - Cambuci;ROUBO - OUTROS;57,0;72,0;66,0;62;54,0;51,0;70,0;66,0;76;...;...;...;574,0;-23,5676;-46,6236
133;006 DP - Cambuci;ROUBO DE VEÍCULO;11,0;4,0;7,0;5;1,0;7,0;5,0;5,0;11;...;...;...;56,0;-23,5676;-46,6236
134;006 DP - Cambuci;ROUBO A BANCO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5676;-46,6236
135;006 DP - Cambuci;ROUBO DE CARGA;1,0;0,0;4,0;1;0,0;1,0;2,0;0,0;1;...;...;...;10,0;-23,5676;-46,6236
136;006 DP - Cambuci;FURTO - OUTROS;171,0;159,0;153,0;178;205,0;149,0;181,0;177,0;194;...;...;...;1,567;-23,5676;-46,6236
137;006 DP - Cambuci;FURTO DE VEÍCULO;48,0;47,0;44,0;55;72,0;71,0;72,0;62,0;64;...;...;...;535,0;-23,5676;-46,6236
138;007 DP - Lapa;HOMICÍDIO DOLOSO (2);1,0;0,0;3,0;2;0,0;0,0;0,0;0,0;1;...;...;...;7,0;-23,5293;-46,6953
139;007 DP - Lapa;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1,0;0,0;3,0;2;0,0;0,0;0,0;0,0;1;...;...;...;7,0;-23,5293;-46,6953
140;007 DP - Lapa;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5293;-46,6953
141;007 DP - Lapa;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5293;-46,6953
142;007 DP - Lapa;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0,0;1,0;0,0;1;0,0;0,0;0,0;0,0;1;...;...;...;3,0;-23,5293;-46,6953
143;007 DP - Lapa;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5293;-46,6953
144;007 DP - Lapa;TENTATIVA DE HOMICÍDIO;1,0;0,0;0,0;1;3,0;1,0;1,0;0,0;0;...;...;...;7,0;-23,5293;-46,6953
145;007 DP - Lapa;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5293;-46,6953
146;007 DP - Lapa;LESÃO CORPORAL DOLOSA;8,0;19,0;12,0;14;16,0;19,0;17,0;15,0;10;...;...;...;130,0;-23,5293;-46,6953
147;007 DP - Lapa;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13,0;5,0;9,0;12;6,0;14,0;9,0;18,0;16;...;...;...;102,0;-23,5293;-46,6953
148;007 DP - Lapa;LESÃO CORPORAL CULPOSA - OUTRAS;0,0;1,0;1,0;3;1,0;2,0;1,0;1,0;1;...;...;...;11,0;-23,5293;-46,6953
149;007 DP - Lapa;LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5293;-46,6953
150;007 DP - Lapa;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5293;-46,6953
151;007 DP - Lapa;TOTAL DE ESTUPRO (4);2,0;1,0;1,0;0;3,0;3,0;1,0;1,0;2;...;...;...;14,0;-23,5293;-46,6953
152;007 DP - Lapa;ESTUPRO;0,0;1,0;1,0;0;1,0;2,0;1,0;0,0;2;...;...;...;8,0;-23,5293;-46,6953
153;007 DP - Lapa;ESTUPRO DE VULNERÁVEL;2,0;0,0;0,0;0;2,0;1,0;0,0;1,0;0;...;...;...;6,0;-23,5293;-46,6953
154;007 DP - Lapa;TOTAL DE ROUBO - OUTROS (1);95,0;102,0;116,0;108;84,0;93,0;108,0;125,0;135;...;...;...;966,0;-23,5293;-46,6953
155;007 DP - Lapa;ROUBO - OUTROS;94,0;99,0;116,0;106;84,0;92,0;107,0;124,0;133;...;...;...;955,0;-23,5293;-46,6953
